lo_id,course_name,group_name
593669,"Подготовка к олимпиаде «Русский медвежонок»",26.09
609010,"Лингвистика для начинающих",26.09
593669,"Лингвистика для начинающих",26.09
476488,"Биологический калейдоскоп",26.09
533003,"Академическое письмо (Academic Writing)",26.09
609013,"Основы программирования на языке Python",26.09
551193,"Математика для начинающих",26.09
476488,"Подготовка к олимпиаде «Русский медвежонок»",26.09
593669,"Первые шаги в робототехнику",26.09
551193,"Биологический калейдоскоп",26.09
551193,"Основы программирования на языке Python",26.09
593707,"Биологический калейдоскоп",26.09
593707,"Математика для начинающих",26.09
593707,"Подготовка к олимпиаде «Русский медвежонок»",26.09
609018,"Математика для начинающих",26.09
518470,"Академическое письмо (Academic Writing)",26.09
552071,"Основы программирования на языке Python",26.09
609019,"Академическое письмо (Academic Writing)",26.09
518470,"Основы программирования на языке Python",26.09
526329,"Основы программирования на языке Python",26.09
593615,"Основы программирования на языке Python",26.09
609021,"Основы программирования на языке Python",26.09
593615,"Математика для начинающих",26.09
602103,"Основы программирования на языке Python",26.09
609025,"Основы программирования на языке Python",26.09
609024,"Академическое письмо (Academic Writing)",26.09
460662,"Лингвистика для начинающих",26.09
460662,"Подготовка к олимпиаде «Русский медвежонок»",26.09
602103,"Математика для начинающих",26.09
602207,"Подготовка к олимпиаде «Русский медвежонок»",26.09
465500,"Академическое письмо (Academic Writing)",26.09
527300,"Первые шаги в робототехнику",26.09
462805,"Академическое письмо (Academic Writing)",26.09
609029,"Лингвистика для начинающих",26.09
609029,"Академическое письмо (Academic Writing)",26.09
527300,"Основы программирования на языке Python",26.09
473559,"Основы программирования на языке Python",26.09
473559,"Академическое письмо (Academic Writing)",26.09
518747,"Основы программирования на языке Python",26.09
600256,"Первые шаги в робототехнику",26.09
518747,"Подготовка к олимпиаде «Русский медвежонок»",26.09
608564,"Математика для начинающих",26.09
531401,"Подготовка к олимпиаде «Русский медвежонок»",26.09
518747,"Математика для начинающих",26.09
593611,"Биологический калейдоскоп",26.09
608564,"Биологический калейдоскоп",26.09
600256,"Основы программирования на языке Python",26.09
593611,"Математика для начинающих",26.09
608713,"Лингвистика для начинающих",26.09
606343,"Основы программирования на языке Python",26.09
608713,"Академическое письмо (Academic Writing)",26.09
531455,"Академическое письмо (Academic Writing)",26.09
601199,"Основы программирования на языке Python",26.09
531455,"Основы программирования на языке Python",26.09
608564,"Подготовка к олимпиаде «Русский медвежонок»",26.09
608473,"Академическое письмо (Academic Writing)",26.09
600256,"Биологический калейдоскоп",26.09
566948,"Основы программирования на языке Python",26.09
592784,"Лингвистика для начинающих",26.09
609045,"Биологический калейдоскоп",26.09
609043,"Биологический калейдоскоп",26.09
566948,"Математика для начинающих",26.09
592784,"Академическое письмо (Academic Writing)",26.09
605171,"Подготовка к олимпиаде «Русский медвежонок»",26.09
605171,"Математика для начинающих",26.09
592784,"Подготовка к олимпиаде «Русский медвежонок»",26.09
528787,"Основы программирования на языке Python",26.09
581465,"Основы программирования на языке Python",26.09
609048,"Лингвистика для начинающих",26.09
609043,"Математика для начинающих",26.09
609048,"Академическое письмо (Academic Writing)",26.09
609048,"Подготовка к олимпиаде «Русский медвежонок»",26.09
551425,"Математика для начинающих",26.09
609050,"Биологический калейдоскоп",26.09
532481,"Основы программирования на языке Python",26.09
574074,"Подготовка к олимпиаде «Русский медвежонок»",26.09
574074,"Основы программирования на языке Python",26.09
528787,"Математика для начинающих",26.09
574074,"Академическое письмо (Academic Writing)",26.09
593345,"Математика для начинающих",26.09
500971,"Основы программирования на языке Python",26.09
608999,"Математика для начинающих",26.09
528787,"Биологический калейдоскоп",26.09
485054,"Биологический калейдоскоп",26.09
571544,"Биологический калейдоскоп",26.09
571544,"Математика для начинающих",26.09
485054,"Лингвистика для начинающих",26.09
528787,"Подготовка к олимпиаде «Русский медвежонок»",26.09
480892,"Основы программирования на языке Python",26.09
551221,"Биологический калейдоскоп",26.09
528787,"Первые шаги в робототехнику",26.09
609051,"Первые шаги в робототехнику",26.09
551221,"Подготовка к олимпиаде «Русский медвежонок»",26.09
609051,"Основы программирования на языке Python",26.09
480892,"Первые шаги в робототехнику",26.09
609058,"Математика для начинающих",26.09
609059,"Математика для начинающих",26.09
527167,"Академическое письмо (Academic Writing)",26.09
609059,"Первые шаги в робототехнику",26.09
527167,"Подготовка к олимпиаде «Русский медвежонок»",26.09
609059,"Биологический калейдоскоп",26.09
609063,"Математика для начинающих",26.09
609064,"Математика для начинающих",26.09
606213,"Академическое письмо (Academic Writing)",26.09
593268,"Основы программирования на языке Python",26.09
609042,"Биологический калейдоскоп",26.09
609042,"Подготовка к олимпиаде «Русский медвежонок»",26.09
